https://www.youtube.com//watch?v=n4tWT-Tzff0,THE INCREDIBLE HULK (2008) University Battle [HD] Hulk Smash,JoBlo Superheroes,1.21M subscribers,"87,077,905 views",15-Aug-20,7:02,423K,67K,"13,574 Comments"
https://www.youtube.com//watch?v=SLD9xzJ4oeU,Thor vs Hulk - Fight Scene - The Avengers (2012) Movie Clip HD,TopMovieClips,8.34M subscribers,"325,677,097 views",23-Jan-17,4:16,1.6M,146K,"31,615 Comments"
https://www.youtube.com//watch?v=q6KTwKaxyZ4,HULK & RED HULK VS GODZILLA FIRE & GODZILLA ICE,KjraGaming,7.96M subscribers,"151,785 views",2-Nov-21,29:44:00,855,303,23 Comments
https://www.youtube.com//watch?v=NEOxcmKQEgE,HULK की चड्डी आखिर फटती क्यों नहीं | Why Doesn’t Hulk’s Underwear Tear – Ask GSF,GetsetflySCIENCE,5.1M subscribers,"256,428 views",2-Nov-21,15:16,23K,405,"1,671 Comments"
https://www.youtube.com//watch?v=qmG-UmiY0vQ,Hulk Escapes Military Base - Hulk Smash Scene - Hulk (2003) Movie CLIP HD,TopMovieClips,8.34M subscribers,"162,371,363 views",17-Dec-17,4:06,800K,95K,0
https://www.youtube.com//watch?v=udKE1ksKWDE,"The Avengers - ""I'm Always Angry"" - Hulk SMASH Scene - Movie CLIP HD",TopMovieClips,8.34M subscribers,"123,407,673 views",18-Feb-17,4:06,917K,45K,"29,784 Comments"
https://www.youtube.com//watch?v=-snB-haP1mo,Evolution of HULK Movies & TV Series 1977 - 2021,Evolution List,26K subscribers,"1,663,600 views",29-Sep-21,8:05,14K,1K,132 Comments
https://www.youtube.com//watch?v=UoWOvE9PjZc,Superheroes hulk SirenHead ANIMATION COMPILATION MARVEL Future Revolution슈퍼히어로 헐크 사이렌헤드 컴플리트에디션 인기모음,Jihwan Play 지환아뭐하니,1.07M subscribers,"11,951 views",4-Nov-21,16:10,Like,Dislike,0 Comments
https://www.youtube.com//watch?v=7G0FTn5J68M,Every Version Of Hulk Ranked By Strength,CBR,3.92M subscribers,"14,891 views",4-Nov-21,15:13,1K,17,117 Comments
https://www.youtube.com//watch?v=nW948Va-l10,Marvel Studios' Loki | Official Trailer | Disney+,Marvel Entertainment,17M subscribers,"22,892,381 views",5-Apr-21,2:16,718K,9.4K,"36,156 Comments"
https://www.youtube.com//watch?v=7LydHN2_eE4,Loki in 30 Seconds | Marvel Studios’ Loki | Disney+,Marvel Entertainment,17M subscribers,"2,250,930 views",21-May-21,1:00,182K,504,"4,720 Comments"
https://www.youtube.com//watch?v=GPSrSP1x6P8,WHY LOKI IS S TIER  - SHOULD HE BE NERFED?!,EL LEON,18.4K subscribers,"1,745 views",3-Nov-21,19:13,86,1,21 Comments
https://www.youtube.com//watch?v=EUOezHD4Vdo,LOKI Easter Eggs! ALL 15 PARTS!,Vrdope,139K subscribers,293 views,5-Nov-21,5:02,79,4,8 Comments
https://www.youtube.com//watch?v=EZEWZm9FGgs,Warframe | CHROMA EFFIGY & LOKI DECOY NUKE BUILDS? | Javlok Steel Path Memes,AznvasionsPlays,22.4K subscribers,"7,503 views",3-Nov-21,19:30,335,9,115 Comments
https://www.youtube.com//watch?v=yaUUFMjHHHA,Loki At New York || Kneel || The Avengers || HD Short Clip || #short,INDIFFERENT,283K subscribers,"9,836 views",2-Nov-21,0:56,970,19,2 Comments
https://www.youtube.com//watch?v=QcLObSaD8fY,Avengers assemble react to loki|1/2|,▪︎stranger▪︎,1.38K subscribers,"15,298 views",1-Nov-21,3:00,1.4K,17,30 Comments
https://www.youtube.com//watch?v=OtcmR5eG9lU,Lokki | Episode 12 31st October 2021,TV Derana,3.29M subscribers,"782,906 views","Premiered Oct 31, 2021",43:15:00,14K,913,"1,097 Comments"
https://www.youtube.com//watch?v=oLxYklZAnBs,"Tarkovsky's Stalker, The MCU's Loki, and the End of Things",Maggie Mae Fish,135K subscribers,"33,656 views","Premiered Nov 3, 2021",1:49:39,2.7K,35,322 Comments
https://www.youtube.com//watch?v=Im9MqBKwrLc,I FINALLY UNDERSTAND WHY LOKI IS SO POPULAR RIGHT NOW - Masters Ranked Duel - SMITE,Rexsi,142K subscribers,648 views,5-Nov-21,27:59:00,39,4,12 Comments
https://www.youtube.com//watch?v=BqWozOpp_m4,LOKIS ENTREGADOR | Roblox - Brookhaven,Lokis,2.93M subscribers,"316,517 views",1-Nov-21,11:29,5.4K,639,304 Comments
